,Restro_name,Branch_Name,Branch_url
57,House Of Commons                                    ,Koramangala 5th Block,https://www.zomato.com/bangalore/house-of-commons-koramangala-5th-block?context=eyJzZSI6eyJlIjpbMTgzMjM2MzAsIjE4MzUzMTA2Il0sInQiOiJIb3VzZSBPZiBDb21tb25zLCBCZW5nYWx1cnUifX0=
58,House Of Commons                                    ,HSR,https://www.zomato.com/bangalore/house-of-commons-hsr?context=eyJzZSI6eyJlIjpbIjE4MzIzNjMwIiwxODM1MzEwNl0sInQiOiJIb3VzZSBPZiBDb21tb25zLCBCZW5nYWx1cnUifX0=
59,The Boozy Griffin                                    ,Marathahalli,https://www.zomato.com/bangalore/the-boozy-griffin-marathahalli?context=eyJzZSI6eyJlIjpbMTgzMzk4NjMsIjU3MzU1Il0sInQiOiJUaGUgQm9venkgR3JpZmZpbiwgQmVuZ2FsdXJ1In19
60,The Boozy Griffin                                    ,Koramangala 5th Block,https://www.zomato.com/bangalore/the-boozy-griffin-koramangala-5th-block?context=eyJzZSI6eyJlIjpbIjE4MzM5ODYzIiw1NzM1NV0sInQiOiJUaGUgQm9venkgR3JpZmZpbiwgQmVuZ2FsdXJ1In19
61,Barbeque Nation                                    ,Indiranagar,https://www.zomato.com/bangalore/barbeque-nation-indiranagar?context=eyJzZSI6eyJlIjpbNTAwNjYsIjUwMDY3IiwiNTAwNjgiLCIxODIzNzkxMiJdLCJ0IjoiQmFyYmVxdWUgTmF0aW9uLCBCZW5nYWx1cnUifX0=
62,Barbeque Nation                                    ,JP Nagar,https://www.zomato.com/bangalore/barbeque-nation-jp-nagar?context=eyJzZSI6eyJlIjpbIjUwMDY2Iiw1MDA2NywiNTAwNjgiLCIxODIzNzkxMiJdLCJ0IjoiQmFyYmVxdWUgTmF0aW9uLCBCZW5nYWx1cnUifX0=
63,Barbeque Nation                                    ,Koramangala 1st Block,https://www.zomato.com/bangalore/barbeque-nation-koramangala-1st-block?context=eyJzZSI6eyJlIjpbIjUwMDY2IiwiNTAwNjciLDUwMDY4LCIxODIzNzkxMiJdLCJ0IjoiQmFyYmVxdWUgTmF0aW9uLCBCZW5nYWx1cnUifX0=
64,Barbeque Nation                                    ,Rajajinagar,https://www.zomato.com/bangalore/barbeque-nation-rajajinagar?context=eyJzZSI6eyJlIjpbIjUwMDY2IiwiNTAwNjciLCI1MDA2OCIsMTgyMzc5MTJdLCJ0IjoiQmFyYmVxdWUgTmF0aW9uLCBCZW5nYWx1cnUifX0=
65,AB's - Absolute Barbecues                                    ,Marathahalli,https://www.zomato.com/bangalore/abs-absolute-barbecues-marathahalli?context=eyJzZSI6eyJlIjpbNTY2MTgsIjE4MTQ4OTc3IiwiMTg2ODc2MzMiLCIxODU2MTM5OCIsIjE4NzYyNTcxIl0sInQiOiJBQiYjMzk7cyAtIEFic29sdXRlIEJhcmJlY3VlcywgQmVuZ2FsdXJ1In19
66,AB's - Absolute Barbecues                                    ,BTM,https://www.zomato.com/bangalore/abs-absolute-barbecues-btm?context=eyJzZSI6eyJlIjpbIjU2NjE4IiwxODE0ODk3NywiMTg2ODc2MzMiLCIxODU2MTM5OCIsIjE4NzYyNTcxIl0sInQiOiJBQiYjMzk7cyAtIEFic29sdXRlIEJhcmJlY3VlcywgQmVuZ2FsdXJ1In19
67,AB's - Absolute Barbecues                                    ,Kalyan Nagar,https://www.zomato.com/bangalore/abs-absolute-barbecues-kalyan-nagar-bangalore?context=eyJzZSI6eyJlIjpbIjU2NjE4IiwiMTgxNDg5NzciLDE4Njg3NjMzLCIxODU2MTM5OCIsIjE4NzYyNTcxIl0sInQiOiJBQiYjMzk7cyAtIEFic29sdXRlIEJhcmJlY3VlcywgQmVuZ2FsdXJ1In19
68,AB's - Absolute Barbecues                                    ,Whitefield,https://www.zomato.com/bangalore/abs-absolute-barbecues-whitefield?context=eyJzZSI6eyJlIjpbIjU2NjE4IiwiMTgxNDg5NzciLCIxODY4NzYzMyIsMTg1NjEzOTgsIjE4NzYyNTcxIl0sInQiOiJBQiYjMzk7cyAtIEFic29sdXRlIEJhcmJlY3VlcywgQmVuZ2FsdXJ1In19
69,AB's - Absolute Barbecues                                    ,Sarjapur Road,https://www.zomato.com/bangalore/abs-absolute-barbecues-sarjapur-road-bangalore?context=eyJzZSI6eyJlIjpbIjU2NjE4IiwiMTgxNDg5NzciLCIxODY4NzYzMyIsIjE4NTYxMzk4IiwxODc2MjU3MV0sInQiOiJBQiYjMzk7cyAtIEFic29sdXRlIEJhcmJlY3VlcywgQmVuZ2FsdXJ1In19
70,Gilly's Restobar                                    ,Koramangala 5th Block,https://www.zomato.com/bangalore/gillys-restobar-koramangala-5th-block?context=eyJzZSI6eyJlIjpbNTg0MTMsIjE4MjI0NjcyIl0sInQiOiJHaWxseSYjMzk7cyBSZXN0b2JhciwgQmVuZ2FsdXJ1In19
71,Gilly's Restobar                                    ,New BEL Road,https://www.zomato.com/bangalore/gillys-restobar-new-bel-road?context=eyJzZSI6eyJlIjpbIjU4NDEzIiwxODIyNDY3Ml0sInQiOiJHaWxseSYjMzk7cyBSZXN0b2JhciwgQmVuZ2FsdXJ1In19
72,Black Deer                                    ,Vijay Nagar,https://www.zomato.com/bangalore/black-deer-vijay-nagar-bangalore?context=eyJzZSI6eyJlIjpbMTg2ODc3ODgsIjE4NzE0NjQ1Il0sInQiOiJCbGFjayBEZWVyLCBCZW5nYWx1cnUifX0=
73,Black Deer                                    ,Koramangala 5th Block,https://www.zomato.com/bangalore/black-deer-koramangala-5th-block-bangalore?context=eyJzZSI6eyJlIjpbIjE4Njg3Nzg4IiwxODcxNDY0NV0sInQiOiJCbGFjayBEZWVyLCBCZW5nYWx1cnUifX0=
74,Chili's American Grill &amp; Bar                                    ,"Orion Mall, Malleshwaram",https://www.zomato.com/bangalore/chilis-american-grill-bar-malleshwaram?context=eyJzZSI6eyJlIjpbNTM5NjYsIjUzNTkwIl0sInQiOiJDaGlsaSYjMzk7cyBBbWVyaWNhbiBHcmlsbCAmIEJhciwgQmVuZ2FsdXJ1In19
75,Chili's American Grill &amp; Bar                                    ,"Phoenix Market City Mall, Whitefield",https://www.zomato.com/bangalore/chilis-american-grill-bar-whitefield?context=eyJzZSI6eyJlIjpbIjUzOTY2Iiw1MzU5MF0sInQiOiJDaGlsaSYjMzk7cyBBbWVyaWNhbiBHcmlsbCAmIEJhciwgQmVuZ2FsdXJ1In19
