,Text,Date,Likes
43,"There’s no place for adulteration in a healthy society as ours. 

The people are going to reject the ‘Maha Milawat’ taking shape among the Opposition parties.<a href=""https://t.co/bmZwU9dCUX"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/bmZwU9dCUX</a>",Feb 10,328
44,"There is a 'family pack' for bail and no prizes to guess who are the beneficiaries of this pack.<a href=""https://t.co/o0kEnuyIOk"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/o0kEnuyIOk</a>",Feb 10,360
45,"Never forget how arrogant Congress ministers insulted the middle class. In all their years in power they didn’t do anything for the middle class. 

In our 55 months, the NDA has focused on ‘Ease of Living’ for the middle class.<a href=""https://t.co/mZ8CmaA6wu"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/mZ8CmaA6wu</a>",Feb 10,313
46,"Here a deal, there a deal, everywhere a deal...this is how Congress views defence sector. Always wanting to make money. 

For us, what matters is a strong India and the welfare of those who serve the nation.<a href=""https://t.co/Uk2GyJevGv"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/Uk2GyJevGv</a>",Feb 10,388
47,"The BJP has served, is serving and always will serve the people of Andhra Pradesh. 

In the last four and a half years, whatever had to be done to ensure justice for my sisters and brothers of Andhra Pradesh, we have done.&nbsp;

We stand with Andra Pradesh and its great people.<a href=""https://t.co/FwjbblvwUS"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/FwjbblvwUS</a>",Feb 10,436
48,"One must admire Chandrababu Naidu Garu’s honesty. 

He says he is a wealth creator!&nbsp;

He’s obviously creating lots of wealth for him and his son while AP suffers.&nbsp;

We are patriotic Indians...we are only thinking about the nation. Creating wealth is never on our minds.<a href=""https://t.co/s63s7YebNM"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/s63s7YebNM</a>",Feb 10,738
49,"I thank the TDP cadre and their leader for wishing what every patriotic Indian also wishes- that Modi goes back to Delhi and once again becomes the Prime Minister! I guess they have read the writing on the wall!<a href=""https://t.co/PSbY9l659k"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/PSbY9l659k</a>",Feb 10,778
50,"My ‘senior’ in politics, Shri Chandrababu Naidu obviously has lots to hide. Else why won’t he give an account of what his miserable Government has done for Andhra Pradesh. 

Centre has left no stone unturned for the state’s progress but the priorities of the TDP are different.<a href=""https://t.co/X91aLVlpaM"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/X91aLVlpaM</a>",Feb 10,283
51,"From fighting the Dushta Congress under the formidable NTR Garu to becoming a Dost of Congress, the TDP has come a long way. 

Andhra Pradesh has seen the TDP’s true colours.<a href=""https://t.co/6tRpJ92vMp"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/6tRpJ92vMp</a>",Feb 10,239
52,"Chandrababu Naidu Garu keeps saying he is senior to Modi, he is senior to Modi. 

Of course he is...

Know how!<a href=""https://t.co/3S0yK2tt4G"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/3S0yK2tt4G</a>",Feb 10,456
53,"The BJP Government in Tripura is focussing on the education sector. 

During the Communist misrule, Government jobs were given on the basis of party loyalty. Now there is a culture of merit and transparency.<a href=""https://t.co/QJzrlQOf8r"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/QJzrlQOf8r</a>",Feb 9,479
54,"In less than a year, the BJP Government in Tripura has brought major changes in the state. There is pro-people governance and a hard crackdown on corruption.<a href=""https://t.co/rvsw49tl3T"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/rvsw49tl3T</a>",Feb 9,426
55,"Honoured to have unveiled a statue of the great Maharaja Bir Bikram Kishore Manikya Bahadur at the airport in Agartala.<a href=""https://t.co/mecMeU7sxl"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/mecMeU7sxl</a>",Feb 9,232
56,"The strong bond between Assam and the BJP can be seen at the rally at Amingaon today. 

The Centre and Assam Government are taking numerous steps for the progress of the state. 

The recent Budget of the Assam Government will have a transformative impact too. <a href=""/BJP4Assam"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""1858339356""><s>@</s><b>BJP4Assam</b></a><a href=""https://t.co/LWobkYcvCg"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/LWobkYcvCg</a>",Feb 9,426
